LakID,TAG,SOURCE,TYPE,COUNTRY,LAKE_NAME,AREA_KM2,LON_ORG,LAT_ORG,LisfloodX,LisfloodY
686,ELM,GLWD2,LAKE_M_EUR,Turkey,Ulubat,149.9,28.55,40.15,28.45833,40.20833
684,ELM,GLWD2,LAKE_M_EUR,Turkey,Kus,162.1,28.05,40.15,28.05833,40.14167
666,ELM,Burek_Lake,LAKE_M_EUR,Turkey,Aksehir,335.5,31.42,38.52,31.39167,38.475
668,ELM,Burek_Lake,LAKE_M_EUR, , ,39.5,30.83,38.44,30.85833,38.45833
670,ELM,Burek_Lake,LAKE_M_EUR,Turkey,Beysehir,659.6,31.52,37.78,31.69167,37.675
671,ELM,Burek_Lake,LAKE_M_EUR, , ,34.9,28.01,38.62,28.05833,38.60833
673,ELM,Burek_Lake,LAKE_M_EUR,Turkey,Egridir,474.3,30.85,38.07,30.875,37.85833
675,ELM,Burek_Lake,LAKE_M_EUR,Turkey,Burdur,212.2,30.21,37.73,30.225,37.775
678,ELM,Burek_Lake,LAKE_M_EUR,Turkey,Acigol,152.9,29.84,37.84,29.89167,37.825
653,ELM,Burek_Lake,LAKE_M_EUR,Turkey,Hazar,79.2,39.41,38.49,39.50833,38.50833
656,ELM,Burek_Lake,LAKE_M_EUR,Turkey, ,106.1,39.9,38.07,39.975,38.05833
659,ELM,Burek_Lake,LAKE_M_EUR,Turkey, ,69.8,34.41,39.21,34.49167,39.19167
664,ELM,Burek_Lake,LAKE_M_EUR,Turkey,Tuz,971.5,33.36,38.86,33.425,39.025
667,ELM,Burek_Lake,LAKE_M_EUR,Turkey, ,75.7,36.33,37.36,36.275,37.30833
669,ELM,Burek_Lake,LAKE_M_EUR,Turkey,Bataklik,92.6,33.07,37.57,33.04167,37.575
674,ELM,Burek_Lake,LAKE_M_EUR, , ,38.2,37.51,36.07,37.675,35.89167
676,ELM,Burek_Lake,LAKE_M_EUR,Turkey, ,60.4,36.32,36.34,36.275,36.35833
680,ELM,Burek_Lake,LAKE_M_EUR,Syria, ,33.9,36.57,34.64,36.60833,34.65833
650,ELM,Burek_Lake,LAKE_M_EUR,Turkey,Van,3537.9,42.98,38.66,42.49167,38.54167
654,ELM,Burek_Lake,LAKE_M_EUR,Turkey, ,399.2,41.62,37.77,41.775,37.725
677,ELM,Burek_Lake,LAKE_M_EUR,Iraq, ,378.6,42.03,34.38,42.34167,34.20833
681,ELM,Burek_Lake,LAKE_M_EUR,Morocco, ,32.3,-6.76,33.91,-6.75833,33.90833
685,ELM,GLWD2,LAKE_M_EUR,Israel,Tiberias,155.8,35.55,32.75,35.59167,32.725
704,ELM,GLWD2,LAKE_M_EUR,Algeria, ,228.9,-2.65,30.85,-2.64167,30.85833
682,ELM,Burek_Lake,LAKE_M_EUR,Egypt,Qarun,232.7,30.61,29.47,30.69167,29.49167
505,ELM,Burek_Lake,LAKE_M_EUR,Sweden,Tornetrask,315.4,19.34,68.34,19.975,68.20833
517,ELM,Burek_Lake,LAKE_M_EUR,Sweden,Uddjaur,265.6,17.82,65.98,17.90833,65.90833
