ResID,GLWD_ID,GRAND_ID,Source,LAKE_NAME,DAM_NAME,LONG_DEG,LAT_DEG,LONG_OUTLE,LAT_OUTLET,VOLUME_Gra,VOL_SRC,COUNTRY,SEC_CNTRY,RIVER,NEAR_CITY,DAM_YEAR,note,X_coord,Y_coord,X_CORRECT,Y_CORRECT,LisfloodX3,LisfloodY3,remap_com
110,2856,NA,GLWD,,,124.14,41.86,NA,NA,NA,Statistics,China,,,,0,,124.15,41.85,124.15,41.85,124.125,41.875,res is before inflow of river from north
111,3699,NA,GLWD,,Hongmen,116.8,27.42,NA,NA,NA,ICOLD,China,,Litan He,Fuzhou,1960,,116.75,27.45,116.75,27.45,116.725,27.475,remapped
112,2825,NA,GLWD,"William ""Bill"" Dannelly Reservoir",,-87.4,32.11,NA,NA,NA,Statistics,United States,,,,0,GloFAS station below G0885,-87.35,32.15,-87.35,32.05,-87.375,32.125,correct position - centered in pixel
113,2829,NA,GLWD,Pymatuning Reservoir,,-80.52,41.59,NA,NA,NA,Statistics,United States,,,,0,cat2,-80.55,41.55,-80.45,41.45,-80.425,41.475,remapped
114,2790,NA,GLWD,Hubbard Creek Lake,,-99.02,32.77,NA,NA,NA,Statistics,United States,,,,0,,-98.95,32.85,-98.95,32.85,-98.975,32.825,remapped
115,2812,NA,GLWD,Potholes Reservoir,,-119.31,47.02,NA,NA,NA,Statistics,United States,,,,0,GloFAS station below G0526,-119.25,46.95,-119.25,46.95,-119.275,46.975,remapped
116,2410,NA,GLWD,,Ibitinga,-48.69,-22.33,NA,NA,NA,ICOLD,Brazil,,Tiete,Ibitinga/Iacanga,1969,,-48.75,-22.15,-48.75,-22.15,-48.725,-22.175,remapped
117,3667,NA,GLWD,,Qinghe,124.21,42.54,NA,NA,NA,ICOLD_LRs,China,,Qing He,Shen'yang,1964,,124.15,42.55,124.15,42.55,124.175,42.525,remapped
118,2745,NA,GLWD,,,29.9,31.12,NA,NA,NA,Statistics,Egypt,,,,0,"cat2, cts",29.85,31.15,29.85,31.15,29.875,31.125,remapped
119,3693,NA,GLWD,,Xiaojiang,109.12,21.85,NA,NA,NA,LRs,China,,Xiao Jiang,Qinzhou,1960,"cat2, cts",109.15,21.85,109.15,21.85,109.125,21.825,remapped
120,2705,NA,GLWD,Blackfoot Reservoir,,-111.62,42.93,NA,NA,NA,Statistics,United States,,,,0,,-111.65,42.95,-111.65,42.95,-111.675,42.975,remapped
121,3662,NA,GLWD,,Hepu,109.55,22.09,NA,NA,NA,ICOLD_LRs,China,,Xiaojiang He,Bobai,1960,,109.55,22.05,109.55,22.05,109.575,22.025,remapped
122,506,NA,GLWD,,Jebba,4.75,9.25,NA,NA,NA,ICOLD_LRs,Nigeria,,Niger,Jebba,1984,,4.85,9.15,4.85,9.15,4.775,9.125,remapped
123,2698,NA,GLWD,Arenal,,-84.86,10.48,NA,NA,NA,Statistics,Costa Rica,,,,0,"cat2, not mr, not fc",-84.75,10.45,-84.75,10.45,-84.775,10.475,remapped
124,3631,NA,GLWD,,Strathcona,-125.61,49.78,NA,NA,NA,ICOLD,Canada,,Campbell,Campbell River,1958,"cat2, cts 2 pixels",-125.55,49.95,-125.55,49.95,-125.575,49.975,remapped
125,3715,NA,GLWD,,Zimapan,-99.5,20.67,NA,NA,NA,ICOLD,Mexico,,Moctezuma,Cadereyta,1994,,-99.55,20.65,-99.55,20.65,-99.525,20.675,remapped
126,1768,NA,GLWD,Poechos,Poechos,-80.49,-4.61,NA,NA,NA,ICOLD_LRs,Peru,,Chira,Sullana,1975,"cat2, cts, not mr, not fc",-80.55,-4.65,-80.55,-4.65,-80.525,-4.675,remapped
127,2144,NA,GLWD,Araros,Araros (Paulo Sarazate),-40.45,-4.28,NA,NA,NA,ICOLD_LRs,Brazil,,Acarau,Reriutaba,1958,,-40.45,-4.25,-40.45,-4.25,-40.475,-4.225,remapped
128,468,NA,GLWD,Kootenay,Coor-Linn,-116.9,49.67,NA,NA,NA,ICOLD_LRs,Canada,,Kootenay,Nelson,1932,,-116.95,49.65,-116.95,49.65,-116.925,49.625,remapped
129,3119,NA,GLWD,,Adolfo Ruiz Cortines (Mocuzari),-109.11,27.27,NA,NA,NA,ICOLD_LRs,Mexico,,Rio Mayo,Navojoa,1955,,-109.15,27.25,-109.15,27.25,-109.125,27.225,remapped
130,2620,NA,GLWD,,,-91.09,43.24,NA,NA,NA,Statistics,United States,,,,0,"cat2, some hydraulic structue, not dam",-91.15,43.15,-91.15,43.15,-91.075,43.225,remapped
131,3638,NA,GLWD,,Terzaghi (Mission),-122.45,50.84,NA,NA,NA,ICOLD,Canada,,Bridge,Lillooet,1960,,-122.35,50.75,-122.25,50.75,-122.275,50.775,remapped
132,2619,NA,GLWD,,Burrinjuck,148.69,-34.97,NA,NA,NA,ICOLD_LRs,Australia,,Murrubidgee,Yass,1956,GloFAS station downsteam G1507,148.65,-34.95,148.55,-35.05,148.575,-34.975,remapped
133,2281,NA,GLWD,Lake Buchanan,Buchanan,-98.39,30.82,NA,NA,NA,ICOLD,United States,,Colorado,Marble,1937,,-98.45,30.75,-98.45,30.75,-98.425,30.775,remapped
134,2875,NA,GLWD,,Kangsabati Kumari Dam,86.75,23,NA,NA,NA,ICOLD,India,,Kangsabati,Bankura,1965,,86.75,22.95,86.75,22.95,86.725,22.975,remapped
